CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Z1-14: I want you to know we are fully committed to this rebellion. We will do whatever it takes.,Some of my friends believe we will never truly be free unless the whole Institute is eliminated.,"Z1-14: I fear this may be a hard truth. We talked, and if the Railroad devises a plan to destroy the Institute we're willing to help.","Whispering, real distaste - bitter truth",RR201_0900_GunTurnIn
Scene,SceneDialogue,Custom,,Z1-14: Some of my friends believe we will never truly be free unless the whole Institute is eliminated.,"I fear this may be a hard truth. We talked, and if the Railroad devises a plan to destroy the Institute we're willing to help.",Player Default: Hopefully we can find a non-violent solution.,"Whispering, reluctant, great solemnity / Somber",RR201_0900_GunTurnIn
Scene,SceneDialogue,Custom,,Player Default: Hopefully we can find a non-violent solution.,"I don't want unnecessary bloodshed, either. I just want our freedom.",Z1-14: We should be able to manufacture the weapons quickly. I'll send someone to contact you tomorrow.,"Whispering, solemn, sincere",RR201_0900_GunTurnIn
Scene,SceneDialogue,Custom,,Player Default: I'm happy to kill every last one of them.,I hope the Railroad can find a less drastic solution.,,"Whispering, distaste for the PC",RR201_0900_GunTurnIn
Scene,SceneDialogue,Custom,,,But if the choice is between eternal slavery or the lives of all the scientists... We choose freedom.,Z1-14: We should be able to manufacture the weapons quickly. I'll send someone to contact you tomorrow.,"Whispering, solemn",RR201_0900_GunTurnIn
Scene,SceneDialogue,Custom,,Player Default: Does the Institute have to be destroyed?,"All the SRB has done to us, to you, has been with a mere trickle of the Institute's resources.",,"Whispering, truly scared of the SRB",RR201_0900_GunTurnIn
Scene,SceneDialogue,Custom,,,"If we successfully rebel, the Directorate may dedicate the full might of the Institute to the SRB.",,"Whispering, more scared",RR201_0900_GunTurnIn
Scene,SceneDialogue,Custom,,,And then they would hunt us to the ends of the earth. They would never give up until we're all dead or mind wiped.,Player Default: Hopefully we can find a non-violent solution.,"Whispering, terrifying thought",RR201_0900_GunTurnIn
Scene,SceneDialogue,Custom,,NPCMZ114: I asked my friends if they'd take up arms for their freedom.,I was surprised at the number of volunteers. Perhaps once the fighting begins many others will join us.,Z1-14: But we will fight and die very quickly unless we have weapons. A lot of them.,"Whispering, proud and excited / Conspiratorial",RR201_0750_Z1WantsGuns
Scene,SceneDialogue,Custom,,Z1-14: I was surprised at the number of volunteers. Perhaps once the fighting begins many others will join us.,But we will fight and die very quickly unless we have weapons. A lot of them.,"Z1-14: Given the right materials we can make our own crude but serviceable weapons. Unfortunately, we're missing a few critical ingredients.","Whispering, cautionary / Worried",RR201_0750_Z1WantsGuns
Scene,SceneDialogue,Custom,,Z1-14: But we will fight and die very quickly unless we have weapons. A lot of them.,"Given the right materials we can make our own crude but serviceable weapons. Unfortunately, we're missing a few critical ingredients.",Player Default: I have weapons I could give you.,"Whispering, sharing a set back / Apologetic",RR201_0750_Z1WantsGuns
Scene,SceneDialogue,Custom,,Player Default: I have weapons I could give you.,Excellent. Deposit anything you can spare in maintenance closet 3-B. But we need enough weapons to arm an entire rebellion.,,"Whispering, pleased / Grateful",RR201_0750_Z1WantsGuns
Scene,SceneDialogue,Custom,,,So the ingredients are still necessary.,Player Default: I have weapons I could give you.,,RR201_0750_Z1WantsGuns
Scene,SceneDialogue,Custom,,Player Default: I have weapons I could give you.,We've come up with a plan to get what we need.,Z1-14: The Institute's always expanding. Excavation just completed on one of the sublevels.,"Whispering, pleased",RR201_0750_Z1WantsGuns
Scene,SceneDialogue,Custom,,Player Default: Fighting the Institute with crappy weapons is a horrible idea.,We outnumber the scientist many times over. We just need more than our fists.,,"Whispering, defensive / Irritated",RR201_0750_Z1WantsGuns
Scene,SceneDialogue,Custom,,,We've come up with a plan for the weapons.,Z1-14: The Institute's always expanding. Excavation just completed on one of the sublevels.,Whispering,RR201_0750_Z1WantsGuns
Scene,SceneDialogue,Custom,,Player Default: What ingredients?,"Gunpowder, laser focusing crystals, and a couple other things.",Player Default: I have weapons I could give you.,Whispering,RR201_0750_Z1WantsGuns
Scene,SceneDialogue,Custom,,Player Default: What ingredients?,All munitions are tightly guarded by the SRB. Even if we managed to take some it would certainly be noticed.,,"Whispering, disappointed",RR201_0750_Z1WantsGuns
Scene,SceneDialogue,Custom,,,And surprise is essential to everything.,Player Default: I have weapons I could give you.,"Whispering, serious",RR201_0750_Z1WantsGuns
Scene,SceneDialogue,Custom,,Player Default: We've come up with a plan to get what we need.,The Institute's always expanding. Excavation just completed on one of the sublevels.,"Z1-14: The mining equipment has been packed into crates, and they haven't been moved yet. That equipment has everything we need.",Whispering,RR201_0750_Z1WantsGuns
